Thumbnail,Year Published,Min Players,Max Players,Play Time (Minutes),Category,Mechanics,Average Rating
https://cf.geekdo-images.com/thumb/img/jKVCyVKboWKMpLlI9pB9ojeqM_w=/fit-in/200x150/pic1077906.jpg,2011,3,6,240,"['Bluffing', 'Fantasy', 'Negotiation', 'Novel-based', 'Political', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Auction/Bidding', 'Auction: Sealed Bid', 'Card Play Conflict Resolution', 'Hand Management', 'Order Counters', 'Player Elimination', ""Prisoner's Dilemma"", 'Simultaneous Action Selection', 'Variable Player Powers']",7.61817
https://cf.geekdo-images.com/thumb/img/v4iQ22pft-lihR4m0D9aid05qLE=/fit-in/200x150/pic260745.jpg,1475,2,2,60,['Abstract Strategy'],"['Grid Movement', 'Pattern Movement', 'Square Grid', 'Static Capture']",7.10953
https://cf.geekdo-images.com/thumb/img/00FpWk6IN889ypSvLAo6ILUGZXw=/fit-in/200x150/pic1790789.jpg,2013,1,7,210,"['Animals', 'Economic', 'Fantasy', 'Farming']","['Automatic Resource Growth', 'Increase Value of Unchosen Resources', 'Tile Placement', 'Turn Order: Claim Action', 'Worker Placement']",8.03365
https://cf.geekdo-images.com/thumb/img/08UWIW8s31pSdo-5fxPhWg5CaCg=/fit-in/200x150/pic4235383.jpg,1933,2,8,180,"['Economic', 'Negotiation']","['Auction/Bidding', 'Income', 'Loans', 'Lose a Turn', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Track Movement', 'Trading']",4.35735
https://cf.geekdo-images.com/thumb/img/H1uPmDmOdUnsnylMEwBILm_n_S0=/fit-in/200x150/pic1083380.jpg,2011,1,4,240,"['Adventure', 'Exploration', 'Fantasy', 'Fighting']","['Card Drafting', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Modular Board', 'Role Playing', 'Solo / Solitaire Game', 'Variable Player Powers']",8.10243
https://cf.geekdo-images.com/thumb/img/evLjhkCczNxdOizf6mEW9v07IBo=/fit-in/200x150/pic4887376.jpg,2016,2,4,150,"['American West', 'Animals']","['Deck, Bag, and Pool Building', 'Hand Management', 'Point to Point Movement', 'Set Collection', 'Variable Setup']",8.29052
https://cf.geekdo-images.com/thumb/img/oOatWE-2huIJ4nEiIZueb_V9dHU=/fit-in/200x150/pic1521633.jpg,2008,3,5,120,"['Bluffing', 'Negotiation', 'Science Fiction', 'Space Exploration']","['Alliances', 'Auction/Bidding', 'Hand Management', 'Negotiation', ""Prisoner's Dilemma"", 'Race', 'Simultaneous Action Selection', 'Take That', 'Trading', 'Variable Player Powers']",7.5438
https://cf.geekdo-images.com/thumb/img/_oLgT5QRIiBJsUqDxJvjB5p4O6U=/fit-in/200x150/pic1638795.jpg,2005,2,5,150,"['City Building', 'Economic', 'Medieval']","['Ownership', 'Turn Order: Claim Action', 'Turn Order: Pass Order', 'Variable Setup', 'Worker Placement']",7.78287
https://cf.geekdo-images.com/thumb/img/fJp94uxjjBE5bGT0IxWZ5ePpe8A=/fit-in/200x150/pic3738560.jpg,2012,2,2,45,"['Bluffing', 'Card Game', 'Collectible Components', 'Science Fiction']","['Action Points', 'Hand Management', 'Secret Unit Deployment', 'Take That', 'Variable Player Powers']",7.87733
https://cf.geekdo-images.com/thumb/img/rSivtcma94IGqMyHgzgfhjcyYDs=/fit-in/200x150/pic1398895.jpg,2012,5,10,30,"['Bluffing', 'Card Game', 'Deduction', 'Fantasy', 'Medieval', 'Negotiation', 'Party Game', 'Spies/Secret Agents']","['Hidden Roles', 'Roles with Asymmetric Information', 'Simultaneous Action Selection', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers', 'Voting']",7.59126
https://cf.geekdo-images.com/thumb/img/sD_qvrzIbvfobJj0ZDAaq-TnQPs=/fit-in/200x150/pic2649952.jpg,2015,1,6,90,"['Economic', 'Farming']","['Contracts', 'Hand Management', 'Solo / Solitaire Game', 'Turn Order: Auction', 'Worker Placement', 'Worker Placement, Different Worker Types']",8.09722
https://cf.geekdo-images.com/thumb/img/Ap4Vj-Gb0Z64bxDUf7ulr52rFMw=/fit-in/200x150/pic3453267.jpg,2013,2,5,100,"['Ancient', 'Economic', 'Nautical']","['Action Retrieval', 'Advantage Token', 'Card Drafting', 'Hand Management', 'Movement Points', 'Moving Multiple Units', 'Point to Point Movement', 'Variable Setup']",8.11854
https://cf.geekdo-images.com/thumb/img/RSnDaIZnOELRL7lOAdYxQd7Oifk=/fit-in/200x150/pic1974056.jpg,2011,2,6,180,"['Civilization', 'Fighting', 'Science Fiction', 'Space Exploration', 'Wargame']","['Area Majority / Influence', 'Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Map Addition', 'Modular Board', 'Player Elimination', 'Tile Placement', 'Variable Phase Order', 'Variable Player Powers']",7.9069
https://cf.geekdo-images.com/thumb/img/lzPoB0cL20ysgtE5Lc5C6oslpoM=/fit-in/200x150/pic1170986.jpg,2002,4,7,40,"['American West', 'Bluffing', 'Card Game', 'Deduction', 'Fighting']","['Hand Management', 'Hidden Roles', 'Kill Steal', 'Player Elimination', 'Take That', 'Team-Based Game', 'Variable Player Powers']",6.51332
https://cf.geekdo-images.com/thumb/img/ND1lWJtIymBjl3YzfSV3q3MB1Xk=/fit-in/200x150/pic404651.jpg,1948,2,4,90,['Word Game'],"['Hand Management', 'Square Grid', 'Tile Placement']",6.27997
https://cf.geekdo-images.com/thumb/img/CstPYOK5l3W7LutBfbOQR4WAJX4=/fit-in/200x150/pic3330230.jpg,2008,1,5,150,"['City Building', 'Economic', 'Industry / Manufacturing', 'Nautical']","['Automatic Resource Growth', 'End Game Bonuses', 'Increase Value of Unchosen Resources', 'Loans', 'Ownership', 'Worker Placement']",7.87223
https://cf.geekdo-images.com/thumb/img/66qtunbh0lfNhBrynkLruHyfZeY=/fit-in/200x150/pic3122349.jpg,2016,1,2,120,"['Adventure', 'Card Game', 'Collectible Components', 'Fantasy', 'Horror', 'Novel-based']","['Action Points', 'Cooperative Game', 'Deck Construction', 'Hand Management', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Variable Player Powers']",8.18878
https://cf.geekdo-images.com/thumb/img/j69YtQ286qbIC7myOV6n6v-FPy4=/fit-in/200x150/pic70547.jpg,2005,3,7,80,"['Adventure', 'Bluffing', 'Deduction', 'Fantasy', 'Medieval', 'Mythology']","['Communication Limits', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Player Elimination', 'Set Collection', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers']",7.12258
